0821_ctrl_tracking_A.csv
t,set_x,set_y,set_z,set_ry,uav_x,uav_y,uav_z,uav_ry,e_x,e_y,e_z,e_ry,
669.16,1,1,1,-nan,0.905814,0.976518,1.08755,0.00860328,0.0941857,0.0234823,-0.0875458,-nan,
669.181,1,1,1,-nan,0.918494,0.990065,1.09273,0.0082888,0.081506,0.00993538,-0.0927328,-nan,
669.2,1,1,1,-nan,0.918494,0.990065,1.09273,0.0082888,0.081506,0.00993538,-0.0927328,-nan,
669.22,1,1,1,-nan,0.928289,1.00012,1.0964,0.00790076,0.0717106,-0.000120759,-0.0964043,-nan,
669.24,1,1,1,-nan,0.940053,1.01207,1.10056,0.00771419,0.0599467,-0.0120658,-0.100558,-nan,
669.261,1,1,1,-nan,0.940053,1.01207,1.10056,0.00771419,0.0599467,-0.0120658,-0.100558,-nan,
669.28,1,1,1,-nan,0.947976,1.02003,1.10323,0.00718787,0.0520244,-0.0200309,-0.10323,-nan,
669.3,1,1,1,-nan,0.947976,1.02003,1.10323,0.00718787,0.0520244,-0.0200309,-0.10323,-nan,
669.32,1,1,1,-nan,0.956703,1.02846,1.10574,0.00668026,0.0432972,-0.0284564,-0.105739,-nan,
669.34,1,1,1,-nan,0.964045,1.03557,1.10775,0.00644048,0.0359547,-0.0355722,-0.107749,-nan,
669.36,1,1,1,-nan,0.964045,1.03557,1.10775,0.00644048,0.0359547,-0.0355722,-0.107749,-nan,
669.38,1,1,1,-nan,0.974107,1.04492,1.11011,0.00594205,0.0258929,-0.0449172,-0.110114,-nan,
669.401,1,1,1,-nan,0.974107,1.04492,1.11011,0.00594205,0.0258929,-0.0449172,-0.110114,-nan,
669.42,1,1,1,-nan,0.981782,1.05185,1.11177,0.00541592,0.0182182,-0.0518517,-0.111767,-nan,
669.44,1,1,1,-nan,0.988199,1.05768,1.11302,0.00522861,0.0118009,-0.057676,-0.113019,-nan,
